Legislate,,"1 police brutality and alternatives to policing
2 trials: sentencing, pre-trial detention, and false convictions
1,Capital Defense Counsel Training,2,,,$$$,,"Whether a defendant will be sentenced to death typically depends on the quality of his or her legal team more than any other factor. Capital cases are especially complex, time-intensive, and financially draining, and the death penalty is mostly imposed on poor people who cannot afford to hire an effective lawyer, which means they often end up with an under-resourced, under-compensated public defender.",Require lawyers to meet the minimum training and experience guidelines set by the American Bar Association.,https://eji.org/issues/death-penalty/
1,Proportional Fees,2,,,$$,,"Criminal fines are monetary sanctions prescribed by courts as punishment for committing a crime. These fines and fees are often imposed without regard to a defendant’s ability to pay and therefore undermine equitable and proportional sentencing principles. They harm criminal defendants, their families, and communities, especially since nonpayment can result in incarceration.",Require that fines be assessed as a percentage of a defendant’s income and with reference to the number of days of income a person must forego to pay them.,https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
1,Counselling/Treatment for Women,3,,,$$,,"Prisons, and all that go along with them, are usually designed for men, who make up 90% of the world's prison population. Women are often the primary or sole care-givers for children, which presents unique barriers to accessing many services. Alternatives to imprisonment designed for women should enable them to deal with the root causes of criminal behaviour whilst continuing to care for their children.","Create/update counselling, treatment, and probation services to include on-site childcare facilities.",Bankok Rules
1,Dignity in Childbirth,4,,,$,,The shackling of women during childbirth remains widespread in the US. The Bangkok Rules (UN) require women to be treated with humanity and with dignity.,"Prohibit the use of instruments of restraint on women during labour, during birth and immediately after birth.",Bankok Rules
1,Gender-Sensitive Healthcare,4,,,$$,,"In addition to reproductive healthcare, gender-specific responses are needed for mental health, substance abuse and the treatment and care of other diseases. Recognizing sexual violence as a public health issue, it is also notable that women prisoners are also at particularly high risk of rape, sexual assault and humiliation in prison.","Pass comprehensive prison healthcare reform that addresses women's needs, such as providing preventative screening for breast cancer at the recommended intervals and improving mental health treatment, especially for self-harm.",Bankok Rules
1,Gender-Sensitive Visitation Screenings,4,,,$,,"In addition to reproductive healthcare, gender-specific responses are needed for mental health, substance abuse and the treatment and care of other diseases. Recognizing sexual violence as a public health issue, it is also notable that women prisoners are also at particularly high risk of rape, sexual assault and humiliation in prison.",Specifically address abuse during invasive post-visitation screenings by allowing only female officers to conduct screenings and developing alternative screening methods.,Bankok Rules
1,Invest in Existing Housing Programs,5,,,$$,,"Housing may be the most commonly referenced reentry obstacle and is often one of the most immediate areas of need for people released into the community. Ultimately, reentry services are crucial for the success of people re-integrating into society, but the solution to poorly funded reentry programs is not to keep people in jails and prisons.","Invest in existing programs like halfway houses, group living, and subsidized housing.",https://tjcinstitute.com/wp-content/uploads/2020/06/20.06_WHITEPAPER-COVID-Housing-and-Re-entry-1.pdf
1,Expand Public Housing ,5,,,$$$,,"Housing may be the most commonly referenced reentry obstacle and is often one of the most immediate areas of need for people released into the community. Ultimately, reentry services are crucial for the success of people re-integrating into society, but the solution to poorly funded reentry programs is not to keep people in jails and prisons.",Increase public housing options both for recently incarcerated individuals and the general population.,https://tjcinstitute.com/wp-content/uploads/2020/06/20.06_WHITEPAPER-COVID-Housing-and-Re-entry-1.pdf
2,Parking and Traffic Enforcement,1,7,,$,,"One of the services that the police regularly provide are traffic services. But again, here is an area where armed, uniformed police are unnecessary. Where police are engaging in traffic services, their intervention could result in more harm to other vehicles using the road. Furthermore, police are more likely to stop Black people for supposed traffic “infractions,” when no one’s safety is at risk.",Move traffic and parking enforcement responsibilities and funding to the transportation department.,"seattle, https://defundthepolice.org/alternatives-to-police-services/ "
2,Militarization,1,7,,$,,"Policing has become increasingly militarized across North America, where raids, SWAT teams and high artillery weapons are sources of trauma and violence against Black communities in particular. Countless reports on how to address root causes of violence in communities, including gun violence, have been conducted:  they do *not* call for increased or more militarized policing, but for increased funding for community programs, art programs, after school programs.",Disarm and de-militarize police.,https://defundthepolice.org/disarmament-demilitarization/
2,Modernise Drug Law Enforcement Strategies I,1,8,,$$,,"As the ‘war on drugs’ approach has failed to reduce drug markets, and has exacerbated drug‑related harms, a new approach should be adopted to target the most harmful aspects of the illicit market (eg. high‑level and violent criminals, those involved in corruption and money laundering), rather than attempting to suppress all drug trafficking, production and use.",Reduce violence by implementing community policing strategies and stronger actions on arms trafficking and the availability of weapons.,https://cdn.penalreform.org/wp-content/uploads/2016/04/10-point-plan-Drug-policies-WEB_final.pdf
2,Modernise Drug Law Enforcement Strategies II,1,8,,$$,,"As the ‘war on drugs’ approach has failed to reduce drug markets, and has exacerbated drug‑related harms, a new approach should be adopted to target the most harmful aspects of the illicit market (eg. high‑level and violent criminals, those involved in corruption and money laundering), rather than attempting to suppress all drug trafficking, production and use.",Require law enforcement to form partnerships with health and social authorities to ensure that people who use drugs are referred to the services that they need.,https://cdn.penalreform.org/wp-content/uploads/2016/04/10-point-plan-Drug-policies-WEB_final.pdf
2,Mental Illness and the Death Penalty I,2,3,,$,,"The Supreme Court has ruled that defendents with intellectual disability or those who commited a crime as juveniles cannot be held to sufficient standards of culpability to be sentenced to death. Similar concerns exist for the mentally ill, yet they are not similarly protected by the law. People with mental illness are more vulnerable to police pressure, are less able to give meaningful assistance to their counsel, and are typically poor witnesses. Mental health experts estimate at least 20% of people on death row today have a serious mental illness, and at least 10% of the people currently sentenced to death nationwide are military veterans, many of whom suffer from documented trauma disorders.","Pressure the state's highest courts to make the mentally ill ineligible for the death penalty, the ultimate goal being definitive action by the SCOTUS.",https://eji.org/issues/death-penalty/
2,Mental Illness and the Death Penalty II,2,3,,$$$,,"The Supreme Court has ruled that defendents with intellectual disability or those who commited a crime as juveniles cannot be held to sufficient standards of culpability to be sentenced to death. Similar concerns exist for the mentally ill, yet they are not similarly protected by the law. People with mental illness are more vulnerable to police pressure, are less able to give meaningful assistance to their counsel, and are typically poor witnesses. Mental health experts estimate at least 20% of people on death row today have a serious mental illness, and at least 10% of the people currently sentenced to death nationwide are military veterans, many of whom suffer from documented trauma disorders.",Fund mental health programs in the community to reduce crime and support people with mental illness.,https://eji.org/issues/death-penalty/
2,Abolish Cash Bail,2,3,,$,,"The decision of whether a defendant should be jailed while awaiting trial (and therefore have not been convicted of any crime) is often based on a defendant’s wealth and not on public safety considerations. This system burdens the poor and increases the pressure to accept a plea deal even when the defendent is innocent. People should not be in jail simply because they cannot afford to post bail, which has ripple effects on childcare, employment, and other essential needs.","Provide that no financial condition on an arrestee’s pretrial release shall be imposed (meaning, abolish cash bail).",https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
2,Release Without Conditions,2,3,,$,,"The decision of whether a defendant should be jailed while awaiting trial (and therefore have not been convicted of any crime) is often based on a defendant’s wealth and not on public safety considerations. This system burdens the poor and increases the pressure to accept a plea deal even when the defendent is innocent. People should not be in jail simply because they cannot afford to post bail, which has ripple effects on childcare, employment, and other essential needs.","Make the default presumption release without conditions (such as drug testing, curfews, etc) for defendants awaiting trial for misdemeanors and non-serious felonies, with limited exceptions.",https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
2,Underage Prosecution I,2,6,,$,,"All states have transfer laws that allow or require criminal prosecution of some young offenders.Some laws allow juvenile courts or prosecuters to bring cases to criminal court, while statutory exclusion laws require certain cases to go straight to criminal court.",Disallow mandatory sentencing of young children in adult criminal court.,https://law.utexas.edu/faculty/publications/2009-From-Time-Out-to-Hard-Time-Young-Children-in-the-Adult-Criminal-Justice-System/download
2,Underage Prosecution II,2,6,,$,,"All states have transfer laws that allow or require criminal prosecution of some young offenders.Some laws allow juvenile courts or prosecuters to bring cases to criminal court, while statutory exclusion laws require certain cases to go straight to criminal court.",Enact reverse transfer laws allowing criminal court judges to return a young child to juvenile court at any stage in the trial or sentencing process.,https://law.utexas.edu/faculty/publications/2009-From-Time-Out-to-Hard-Time-Young-Children-in-the-Adult-Criminal-Justice-System/download
2,Ban Chokeholds,2,7,,$,,"What is a chokehold in the context of policing? Chokeholds are a tactic police use to control an individual by restricting air or blood flow, usually by kneeling on their neck, chest, or back. Individuals frequently lose consciousness as a result; Eric Garner and many others have been killed by police chokeholds.",Require the police department to ban the use of chokeholds.,"https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=3343958&GUID=B782804F-680A-4156-9E64-8BF88CF7BBD8&Options=&Search=, https://www.npr.org/2020/06/16/877527974/how-decades-of-bans-on-police-chokeholds-have-fallen-short"
2,Criminalize Chokeholds,2,7,,$,,"What is a chokehold in the context of policing? Chokeholds are a tactic police use to control an individual by restricting air or blood flow, usually by kneeling on their neck, chest, or back. Individuals frequently lose consciousness as a result; Eric Garner and many others have been killed by police chokeholds.","Establish a misdemeanor for using a chokehold in the course of an attempted arrest (more than a simple ban, this sends a stronger message that you expect police officers to be held accountable and may increase deterrance).","https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=3343958&GUID=B782804F-680A-4156-9E64-8BF88CF7BBD8&Options=&Search=, https://www.npr.org/2020/06/16/877527974/how-decades-of-bans-on-police-chokeholds-have-fallen-short"
2,Racial Discrimination in Jury Selection I,2,7,,$$,,"Prosecuters can legally exclude people from serving on a jury for arbitrary reasons, but the Supreme Court ruled that it is unconstitutional to exclude members based on race or gender. Yet, racially biased use of peremptory strikes and illegal racial discrimination in jury selection remains widespread, particularly in serious criminal cases and capital cases. Hundreds of people of color called for jury service have been illegally excluded from juries by prosecutors; some district attorney’s offices explicitly train prosecutors to exclude racial minorities from jury service and teach them how to mask racial bias to avoid a finding that anti-discrimination laws have been violated.",Form a committee of town employees or volunteers to regularly monitor the courts and request reporting on the use of peremptory strikes by prosecuters.,https://eji.org/reports/illegal-racial-discrimination-in-jury-selection/
2,Racial Discrimination in Jury Selection II,2,7,,$,,"Prosecuters can legally exclude people from serving on a jury for arbitrary reasons, but the Supreme Court ruled that it is unconstitutional to exclude members based on race or gender. Yet, racially biased use of peremptory strikes and illegal racial discrimination in jury selection remains widespread, particularly in serious criminal cases and capital cases. Hundreds of people of color called for jury service have been illegally excluded from juries by prosecutors; some district attorney’s offices explicitly train prosecutors to exclude racial minorities from jury service and teach them how to mask racial bias to avoid a finding that anti-discrimination laws have been violated.",Expand local jury lists and use computer models that weight racial groups appropriately to ensure full representation of minorities in jury pools.,https://eji.org/reports/illegal-racial-discrimination-in-jury-selection/
2,Reform Prosecutor Incentives I,2,8,,$$,,"Mass incarceration and longer prison stays often produce higher recidivism rates. Prosecuters have a lot influence in determining whether a defendent is charged and how long of a sentence they recieve. Reorienting prosecutorial incentives towards encourage decarceration while reducing or holding constant recidivism rates encourages prosecutors to opt, whenever appropriate, for lower charges or incarceration alternatives, while preserving public safety.",Incentivise local prosecutors to change their practices by providing bonus dollars to their offices if they reduce incarceration while keeping recidivism rates low.,https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
2,Reform Prosecutor Incentives II,2,8,,$,,"Mass incarceration and longer prison stays often produce higher recidivism rates. Prosecuters have a lot influence in determining whether a defendent is charged and how long of a sentence they recieve. Reorienting prosecutorial incentives towards encourage decarceration while reducing or holding constant recidivism rates encourages prosecutors to opt, whenever appropriate, for lower charges or incarceration alternatives, while preserving public safety.","Require prosecuter offices to a.) Adopt internal performance metrics beyond indictments, trials or convictions statistics, including, but not limited to, recognizing staff’s community involvement or referrals to diversion programs, and b.) Release prosecutorial data to support community-led study and innovation",https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
2,Residential Facilities for Juveniles,3,6,,$$$,,"In 2013, New York passed the “Close to Home Initiative,” which allows juveniles who have committed non-serious crimes to be placed in residential facilities closer to their homes, instead of in secure facilities hundreds of miles away. It keeps youth closer to their families, creating positive connections to their communities while they receive the services and support they need. The program was designed to provide a continuum of services—including diversion, supervision, treatment and confinement—to ensure the most appropriate level of care while maintaining public safety.","Place juveniles who have committed non-serious crimes in residential facilities closer to their homes, instead of in secure facilities hundreds of miles away.",https://www.ncsl.org/documents/cj/juvenile_detention_legislative_reforms.pdf
2,Maintaining Family Connections I,4,5,,$$,,"Maintaining family connections both improves the well-being of incarcerated individuals and makes re-entry easier. While prices for phone calls in state prisons have been capped, they can still impose financial barriers, and local jails and corporate providers continue to charge exorbitant rates and fees (which are not capped), respectively. In person visitation can be extremely burdensome when people are placed in prisons far from the residence of family members.",Prohibit charging incarcerated people for telephone calls and make video conferencing available at every facility free of charge.,https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
2,Maintaining Family Connections II,4,5,,$,,"Maintaining family connections both improves the well-being of incarcerated individuals and makes re-entry easier. While prices for phone calls in state prisons have been capped, they can still impose financial barriers, and local jails and corporate providers continue to charge exorbitant rates and fees (which are not capped), respectively. In person visitation can be extremely burdensome when people are placed in prisons far from the residence of family members.",Place incarcerated people with children in a correctional facility as close as possible to the child’s place of residence to make in-person visitation easier.,https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
2,Children in Adult Prisons I,4,6,,$$,,"Incarcerating children with adults needlessly puts kids at great risk of sexual and physical violence, increased trauma, and suicide. Some statutes require “sight and sound” separation of children in adult facilities to shield them from physical and sexual violence. But in practice, this often means kids are put in solitary confinement, where they’re at risk of significant psychological trauma from isolation.",Require any adult correctional facility holding juveniles to comply with professional standards and subject these facilities to independent oversight of the conditions in which these young children are held.,https://eji.org/issues/children-in-prison/
2,Children in Adult Prisons II,4,6,,$$$,,"Incarcerating children with adults needlessly puts kids at great risk of sexual and physical violence, increased trauma, and suicide. Some statutes require “sight and sound” separation of children in adult facilities to shield them from physical and sexual violence. But in practice, this often means kids are put in solitary confinement, where they’re at risk of significant psychological trauma from isolation.",Pressure your state government to house all juveniles separate from adults.,https://eji.org/issues/children-in-prison/
2,Juvenile Facility Conditions,4,6,,$$,,"Approximately 24,000 youth are locked up in some form of secure detention on any given day. When juveniles are committed to detention and correctional facilities, their immediate safety—and well-being long term— may be affected by the conditions of confinement.","Develop licensing requirements for juvenile detention facilities including staff training, child-to-staff-member ratios, nutrition and health services, policies for visitation, behavior management, and education and recreation.",https://www.ncsl.org/documents/cj/juvenile_detention_legislative_reforms.pdf
2,Equal Programming Access for Women,4,8,,$$,,"Women in Texas prisons have access to far fewer educational and vocational programs than their male counterparts, though programming is provided to a greater proportion of women than men. While such inequalities may vary state to state, governments can investigate and ensure that women have access to the same range of programming availabile to men. Additionally, programming aimed at reducing recidivism among women is an especially cost-effective approach to crime reduction.","Increase and promote incarcerated women’s access
to programs, including educational, vocational, substance use
treatment, rehabilitation, life skills training, and pre-release
programs",https://www.texascjc.org/system/files/publications/HB%203227%20Short%20Sheet%20%28Equal%20Access%20to%20Programming%29.pdf
2,Higher Ed. in Prisons,4,8,,$$,,"Education programs reduce recidivism by 48% and save around $5 for every $1 spent (RAND).
Nationally, the Second Chance Pell Experimental Sites Initiative funds students to receive education while incarcerated.
",Pressure your state government to expand funding for higher ed. in prisons!,RAND
2,Continuity of Treatment,5,8,,$$,,"It is critical that effective links with community‑based services are established to ensure continuity of care – both following entry in prison, and post‑release – so that the benefits of treatment started before or during imprisonment are retained.",,https://cdn.penalreform.org/wp-content/uploads/2016/04/10-point-plan-Drug-policies-WEB_final.pdf
2,Pardons and Recidivism I,5,8,,$,,"Pardons can be granted to both shorten sentences without changing the findings of guilt (commutations) or they can erase someone's criminal record. Many people already living in the community (not incarcerated) would benefit from recieving pardons, and research has shown that 1% or less of applicants go on to commit a violent crime, and most recidivism occurs within three years of the initial pardon hearing. The Board or Pardons could substantially increase the number of pardon applicants receiving their endorsement without any risk to public safety, while delivering many benefits to individuals, families and neighborhoods.","For applicants who are already living in the community and are initially denied pardon, automatically reconsider their application in three years.",https://www.plsephilly.org/wp-content/uploads/2020/08/PA-Pardon-Recidivism-Study-2008-2018-pv-August-2020.pdf
2,Pardons and Recidivism II,5,8,,$,,"Pardons can be granted to both shorten sentences without changing the findings of guilt (commutations) or they can erase someone's criminal record. Many people already living in the community (not incarcerated) would benefit from recieving pardons, and research has shown that 1% or less of applicants go on to commit a violent crime, and most recidivism occurs within three years of the initial pardon hearing. The Board or Pardons could substantially increase the number of pardon applicants receiving their endorsement without any risk to public safety, while delivering many benefits to individuals, families and neighborhoods.",Streamline the pardon process so that it can occur more quickly and easily.,https://www.plsephilly.org/wp-content/uploads/2020/08/PA-Pardon-Recidivism-Study-2008-2018-pv-August-2020.pdf
2,Minority Youth,6,7,,$,,"Minority youth come into contact with the juvenile justice system at every stage, and at a higher rate, than their white counterparts, including in secure detention. According to the Office of Juvenile Justice and Delinquency Prevention, in 2010, all minorities combined comprised about 40 percent of the nation’s youth, yet they accounted for nearly 70 percent of the population in secure detention facilities. AfricanAmerican youth are nearly five times more likely to be confined in detention than their white peers, and Latino and American Indian youth are two to three times more likely to be confined.","Require collection of ethnic and racial data on each person arrested or committed to the Department of Juvenile Justice at different, specified contact points, including at arrest or booking, upon imprisonment and upon a certain transfer.",https://www.ncsl.org/documents/cj/juvenile_detention_legislative_reforms.pdf
2,Minority Youth,6,7,,$,,"Minority youth come into contact with the juvenile justice system at every stage, and at a higher rate, than their white counterparts, including in secure detention. According to the Office of Juvenile Justice and Delinquency Prevention, in 2010, all minorities combined comprised about 40 percent of the nation’s youth, yet they accounted for nearly 70 percent of the population in secure detention facilities. AfricanAmerican youth are nearly five times more likely to be confined in detention than their white peers, and Latino and American Indian youth are two to three times more likely to be confined.","Link county funding to programs that address overrepresentation of minority youth, improve data collection, and implement cultural and ethnic training.",https://www.ncsl.org/documents/cj/juvenile_detention_legislative_reforms.pdf
3,Predictive Policing Algorithms I,1,2,7,$$,,"Predictive technologies use data from previous arrests to predict future crime. Though it is currently illegal to use race as a factor, they can still target black communities based on zip code, socioeconomic status, criminal record, and other factors, perpetuating racial inequity based on racially-biased data. However, some argue that, if implemented correctly, predictive technology can reduce pre-trial incarceration and/or can be designed to explicitly address racism through affirmative action algorithms.",Require the reporting and evaluation of surveillance technologies used by the police department and courts.,"https://www.technologyreview.com/2020/07/17/1005396/predictive-policing-algorithms-racist-dismantled-machine-learning-bias-criminal-justice/, https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=3343878&GUID=996ABB2A-9F4C-4A32-B081-D6F24AB954A0&Options=&Search="
3,Predictive Policing Algorithms II,1,2,7,$$,,"Predictive technologies use data from previous arrests to predict future crime. Though it is currently illegal to use race as a factor, they can still target black communities based on zip code, socioeconomic status, criminal record, and other factors, perpetuating racial inequity based on racially-biased data. However, some argue that, if implemented correctly, predictive technology can reduce pre-trial incarceration and/or can be designed to explicitly address racism through affirmative action algorithms.",Outlaw the use of predictive technologies in bail determination and targetted policing and/or amend technologies to counteract racial bias.,"https://www.technologyreview.com/2020/07/17/1005396/predictive-policing-algorithms-racist-dismantled-machine-learning-bias-criminal-justice/, https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=3343878&GUID=996ABB2A-9F4C-4A32-B081-D6F24AB954A0&Options=&Search="
3,Facial Recognition Software,1,2,7,$,,"Facial recognition software is used by police around the country to identify suspects. However, such software has been shown to be racially biased, leading to unjustified arrests. Black and Asian individuals are 10-100x more likely to be incorrectly identified by the software.",Ban police department use of facial recognition software as an investigatory tool.,https://www.nytimes.com/2020/06/24/technology/facial-recognition-arrest.html
3,Community Programs,1,7,8,$$,,"Policing has become increasingly militarized across North America, where raids, SWAT teams and high artillery weapons are sources of trauma and violence against Black communities in particular. Countless reports on how to address root causes of violence in communities, including gun violence, have been conducted:  they do *not* call for increased or more militarized policing, but for increased funding for community programs, art programs, after school programs.",Move funding away from militarized equipment and towards educational and arts programs in the community.,https://defundthepolice.org/disarmament-demilitarization/
3,Mandatory Minimums,2,3,7,$$,,"BIPOC have been explicitly targetted by the War on Drugs, as well as implicitly targetted by longer sentences imposed for typically-black versions of drugs (i.e. crack). Mandatory minimums require that convictions for certain drug crimes come with inflexible minimum penalties, which reduces judge's ability to account for mitigating circumstances and avoid sentencing defendents to time in prison.","Eliminate mandatory minimum penalties to ensure that judges are able to offer a fair and adequate sentence, taking due account of all circumstances in each case.",https://cdn.penalreform.org/wp-content/uploads/2016/04/10-point-plan-Drug-policies-WEB_final.pdf
3,Divert to Drug Courts,2,3,7,$$,,"BIPOC have been explicitly targetted by the War on Drugs, as well as implicitly targetted by longer sentences imposed for typically-black versions of drugs (i.e. crack). Mandatory minimums require that convictions for certain drug crimes come with inflexible minimum penalties, which reduces judge's ability to account for mitigating circumstances and avoid sentencing defendents to time in prison.",Create or expand use of a drug court that diverts drug users to health and social services and can impose administrative sanctions if absolutely necessary.,https://cdn.penalreform.org/wp-content/uploads/2016/04/10-point-plan-Drug-policies-WEB_final.pdf
3,Sensible Marijuana Reform,2,3,7,$,,"Prosecuting marijuana use charges present a burden to both the court system and defendents. Marijuana laws are also disproportionately enforced against people of color despite similar usage rates
across racial groups. Two possible actions, decriminalization and legalization (for adults), prevent marijuana users from being prosecuted in criminal court, though decriminalization carries the risk of burdensome criminal justice debt and potential arrests and incarceration for missing court dates. Legalization would bring marijuana into a regulated and legitimate market creates a transparent and accountable system, and removes adult use of marijuana from the criminal justice system entirely.","Decriminalize the possession of one ounce or less of marijuana, making it a civil violation for those over 18 and a misdemeaner for those under 18, both punishable by a fine of $100.",https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
3,Sensible Marijuana Reform,2,3,7,$,,"Prosecuting marijuana use charges present a burden to both the court system and defendents. Marijuana laws are also disproportionately enforced against people of color despite similar usage rates
across racial groups. Two possible actions, decriminalization and legalization (for adults), prevent marijuana users from being prosecuted in criminal court, though decriminalization carries the risk of burdensome criminal justice debt and potential arrests and incarceration for missing court dates. Legalization would bring marijuana into a regulated and legitimate market creates a transparent and accountable system, and removes adult use of marijuana from the criminal justice system entirely.","Legalize recreational marijuana possession for those over the age of 21 and eliminate penalties for those under the age of 21, requiring instead participation in a drug education or counseling program.",https://www.brennancenter.org/sites/default/files/2019-08/Report_Criminal_Justice_Model_Legislation.pdf
3,Decriminalize Drugs (other than marijuana),2,3,7,$,,"Decriminalisation entails the removal of criminal penalties for offences such as drug use, cultivation and possession of drugs for personal use, and possession of drug use paraphernalia. When implemented in line with harm reduction principles, decriminalisation can provide a supporting and enabling legal framework within which people who use drugs can access health interventions without fear of stigma, arrest and detention. It should be noted that decriminalisation differs from legalisation, which is a process by which all drug‑related behaviours (use, possession, cultivation, trade, etc.) become legal activities, although they may still be subject to regulation. Often, simply decriminaliizing drug use places more people in the system and can lead to increased civil penalties, like heavy fines. It is important to note that not all drug use is dependency and, as with all medical procedures inside and outside of prisons, drug dependence treatment should bevoluntary and confidential. Legalization also allows the government to regulate drugs to make them safer (i.e. heroine users will know it is not laced with fentenol).",Decriminalize use and personal possession of drugs.,https://cdn.penalreform.org/wp-content/uploads/2016/04/10-point-plan-Drug-policies-WEB_final.pdf
3,Legalize Drugs (other than marijuana),2,3,7,$,,"Decriminalisation entails the removal of criminal penalties for offences such as drug use, cultivation and possession of drugs for personal use, and possession of drug use paraphernalia. When implemented in line with harm reduction principles, decriminalisation can provide a supporting and enabling legal framework within which people who use drugs can access health interventions without fear of stigma, arrest and detention. It should be noted that decriminalisation differs from legalisation, which is a process by which all drug‑related behaviours (use, possession, cultivation, trade, etc.) become legal activities, although they may still be subject to regulation. Often, simply decriminaliizing drug use places more people in the system and can lead to increased civil penalties, like heavy fines. It is important to note that not all drug use is dependency and, as with all medical procedures inside and outside of prisons, drug dependence treatment should bevoluntary and confidential. Legalization also allows the government to regulate drugs to make them safer (i.e. heroine users will know it is not laced with fentenol).",Legalize use and personal possession of drugs.,https://cdn.penalreform.org/wp-content/uploads/2016/04/10-point-plan-Drug-policies-WEB_final.pdf
3,Death in Prison Sentences,2,5,6,$,,"The U.S. is the only country in the world where kids as young as 13 have been sentenced to life imprisonment without the possibility of parole. In 2012, the Court in Miller v. Alabama struck down mandatory life-without-parole sentences for all children 17 or younger. However, it still allows for life-without-parole sentences for ""uncommon"" cases.","Always provide an opportunity for parole for young children transferred to the adult criminal justice system, regardless of the length of the sentence.",https://eji.org/issues/children-in-prison/
